A	m_avg	m_std	f_avg	f_std	z_avg	z_std	mc	samples
400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1100	63.000000	0.000000	524.000000	0.000000	46.000000	0.000000	1.000000	1.000000
1200	61.961538	2.047151	626.269231	307.745462	44.700000	4.705153	0.500000	26.000000
1300	60.133333	3.630733	540.655556	349.037104	43.532408	5.031746	0.422222	90.000000
1400	56.590000	4.943875	481.810000	311.244727	41.026667	5.674392	0.330000	100.000000
1500	51.960000	5.544222	471.500000	328.144389	36.835334	6.358525	0.280000	100.000000
1600	47.350000	6.173127	448.510000	334.703854	33.105833	6.441422	0.320000	100.000000
1700	42.750000	6.192536	412.820000	308.000000	29.163334	6.297397	0.320000	100.000000
1800	38.910000	6.654465	375.260000	287.768032	26.123667	6.787517	0.260000	100.000000
1900	35.230000	6.292623	346.260000	273.235393	23.163333	6.247072	0.250000	100.000000
2000	32.010000	5.797405	319.510000	260.805119	20.540000	5.611898	0.240000	100.000000
2100	29.350000	5.572028	293.480000	247.368895	18.515000	5.163553	0.220000	100.000000
2200	26.880000	5.555682	268.960000	236.108344	16.713334	5.062941	0.180000	100.000000
2300	24.610000	5.201721	247.070000	223.158397	14.990000	4.640571	0.240000	100.000000
2400	22.500000	5.024938	226.230000	210.652178	13.460000	4.561074	0.200000	100.000000
2500	20.810000	4.770105	207.820000	197.978761	12.260000	4.494708	0.160000	100.000000
2600	19.280000	4.400182	189.690000	186.726324	11.163333	4.072399	0.140000	100.000000
2700	17.780000	4.321065	174.140000	177.413416	10.124242	3.862360	0.140000	100.000000
2800	16.540000	4.318379	159.950000	167.718991	9.345000	3.870203	0.140000	100.000000
2900	15.520000	4.138792	147.020000	158.573012	8.655000	3.689644	0.090000	100.000000
3000	14.500000	3.777565	134.950000	149.683366	7.975000	3.398805	0.100000	100.000000
3100	13.780000	3.683965	123.200000	138.211034	7.660000	3.188950	0.150000	100.000000
3200	12.850000	3.433293	112.660000	126.142261	7.050000	3.024483	0.110000	100.000000
3300	12.100000	3.354102	104.300000	116.921341	6.525000	2.787808	0.090000	100.000000
3400	11.550000	3.308701	96.940000	110.007136	6.160000	2.656953	0.110000	100.000000
3500	10.940000	3.279695	89.170000	102.440080	5.805000	2.694341	0.080000	100.000000
3600	10.410000	3.069511	81.460000	93.389560	5.538333	2.445160	0.100000	100.000000
3700	9.730000	2.897775	74.900000	86.167047	5.080000	2.277850	0.080000	100.000000
3800	9.260000	2.740876	68.640000	79.361893	4.817500	2.118329	0.080000	100.000000
3900	8.860000	2.716689	63.060000	74.678578	4.608333	2.119011	0.080000	100.000000
4000	8.440000	2.765212	57.100000	69.284847	4.413333	2.057976	0.070000	100.000000
4100	7.950000	2.624405	52.160000	64.585757	4.125000	1.940844	0.050000	100.000000
4200	7.580000	2.561952	48.550000	60.172502	3.927500	1.888880	0.060000	100.000000
4300	7.250000	2.527350	45.310000	56.317493	3.717500	1.788384	0.030000	100.000000
4400	7.020000	2.517856	41.640000	52.317397	3.603333	1.774476	0.050000	100.000000
4500	6.700000	2.527845	38.590000	48.851407	3.428333	1.788428	0.050000	100.000000
4600	6.410000	2.400396	35.370000	44.930502	3.320000	1.648514	0.010000	100.000000
4700	6.160000	2.373689	33.130000	42.931923	3.175000	1.546569	0.020000	100.000000
4800	5.940000	2.420000	30.250000	38.763901	3.070000	1.529739	0.030000	100.000000
4900	5.700000	2.351595	27.880000	33.759739	2.915000	1.491736	0.040000	100.000000
5000	5.470000	2.242565	25.930000	31.499206	2.783333	1.369611	0.050000	100.000000
5100	5.300000	2.286919	24.150000	29.398299	2.690000	1.436628	0.040000	100.000000
5200	5.040000	2.240179	21.870000	27.522173	2.582500	1.431370	0.030000	100.000000
5300	4.910000	2.182178	20.320000	26.357162	2.553333	1.407101	0.030000	100.000000
5400	4.660000	2.093896	18.410000	25.298221	2.488333	1.357746	0.050000	100.000000
5500	4.470000	2.041837	17.370000	24.581294	2.378333	1.335593	0.020000	100.000000
5600	4.310000	1.932330	16.400000	23.750158	2.270000	1.207104	0.010000	100.000000
5700	4.110000	1.917785	15.280000	22.490220	2.128333	1.170673	0.020000	100.000000
5800	3.950000	1.845941	14.290000	20.847782	2.018333	1.096939	0.020000	100.000000
5900	3.900000	1.841195	13.340000	19.179155	2.030000	1.124322	0.020000	100.000000
6000	3.750000	1.745709	12.220000	17.330032	1.945000	1.074465	0.040000	100.000000
6100	3.590000	1.744104	11.330000	15.984680	1.870000	1.040721	0.060000	100.000000
6200	3.410000	1.625392	10.410000	14.382281	1.775000	0.973075	0.050000	100.000000
6300	3.280000	1.612948	9.690000	13.224976	1.715000	0.928049	0.060000	100.000000
6400	3.180000	1.558076	9.090000	12.465553	1.705000	0.908557	0.010000	100.000000
6500	3.090000	1.490604	8.570000	11.536464	1.660000	0.862786	0.000000	100.000000
6600	3.020000	1.483105	8.300000	11.116204	1.613333	0.868869	0.010000	100.000000
6700	2.970000	1.479561	7.900000	10.322790	1.603333	0.846818	0.020000	100.000000
6800	2.890000	1.434538	7.460000	9.664885	1.573333	0.849941	0.020000	100.000000
6900	2.860000	1.421408	7.190000	9.473648	1.615000	0.833232	0.010000	100.000000
7000	2.770000	1.370073	6.730000	8.527602	1.555000	0.751316	0.010000	100.000000
7100	2.660000	1.297844	6.190000	7.067531	1.486667	0.753392	0.010000	100.000000
7200	2.590000	1.281366	5.950000	6.897826	1.445000	0.717269	0.020000	100.000000
7300	2.530000	1.236568	5.810000	6.827152	1.395000	0.653051	0.010000	100.000000
7400	2.460000	1.195157	5.480000	6.650564	1.378333	0.632831	0.020000	100.000000
7500	2.420000	1.184736	5.340000	6.558201	1.355000	0.613576	0.010000	100.000000
7600	2.360000	1.144727	5.000000	6.089335	1.355000	0.613576	0.010000	100.000000
7700	2.330000	1.140658	4.910000	6.048140	1.345000	0.594538	0.010000	100.000000
7800	2.320000	1.139122	4.930000	6.039040	1.320000	0.567979	0.020000	100.000000
7900	2.350000	1.169402	5.210000	6.841053	1.320000	0.581034	0.000000	100.000000
8000	2.360000	1.162067	5.190000	6.836666	1.330000	0.617333	0.000000	100.000000
8100	2.290000	1.125122	4.960000	6.462198	1.295000	0.587771	0.010000	100.000000
8200	2.280000	1.105260	4.970000	6.455230	1.270000	0.545069	0.000000	100.000000
8300	2.280000	1.140877	5.030000	6.551336	1.260000	0.521920	0.000000	100.000000
8400	2.200000	1.104536	4.770000	6.498461	1.240000	0.471593	0.000000	100.000000
8500	2.150000	1.107926	4.670000	6.500000	1.230000	0.465940	0.000000	100.000000
8600	2.100000	1.090871	4.550000	6.502307	1.200000	0.424264	0.000000	100.000000
8700	2.100000	1.072381	4.430000	6.273755	1.226667	0.436857	0.020000	100.000000
8800	2.030000	1.081249	4.150000	5.621388	1.205000	0.442126	0.030000	100.000000
8900	1.980000	0.979592	3.770000	4.496665	1.175000	0.426468	0.010000	100.000000
9000	1.960000	0.989141	3.730000	4.409082	1.155000	0.410457	0.010000	100.000000
