A	m_avg	m_std	f_avg	f_std	z_avg	z_std	mc
400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2600	61.600000	1.356466	20547.800000	5265.807782	26.000000	1.414214	1.000000	5.000000
2700	61.062500	2.357667	29345.875000	22137.178277	25.410125	3.157659	1.000000	16.000000
2800	60.083333	3.394235	28203.555556	20084.423685	24.656053	3.276699	0.916667	36.000000
2900	57.803922	4.210256	30170.392157	22126.570715	23.402896	3.846893	0.901961	51.000000
3000	56.563380	4.912566	34800.816901	40627.509394	22.928973	4.127307	0.859155	71.000000
3100	54.614458	5.347742	33607.421687	37190.706275	22.011443	4.149815	0.915663	83.000000
3200	52.077778	5.823759	35251.666667	42032.373176	20.518709	4.110457	0.844444	90.000000
3300	50.051020	6.589064	39463.755102	50746.148363	19.405751	4.449892	0.775510	98.000000
3400	47.173469	6.703678	36530.612245	48024.011773	18.049002	4.440487	0.826531	98.000000
3500	44.930000	6.961688	33386.190000	44904.726373	17.233334	4.798090	0.780000	100.000000
3600	42.510000	6.728291	30794.320000	42281.158805	16.130000	4.588558	0.720000	100.000000
3700	40.250000	6.821107	28352.140000	39855.025041	14.948333	4.583284	0.820000	100.000000
3800	38.220000	6.556798	25959.380000	37250.973949	13.897500	4.096659	0.770000	100.000000
3900	36.690000	6.599538	23573.200000	34596.376789	13.308285	4.149818	0.740000	100.000000
4000	34.750000	6.487488	21400.290000	31940.784753	12.384180	3.936665	0.700000	100.000000
4100	33.140000	6.315093	19433.360000	29654.283213	11.680500	3.753387	0.670000	100.000000
4200	31.590000	6.162946	17679.370000	27626.649913	10.946945	3.838748	0.590000	100.000000
4300	30.240000	5.892572	16108.440000	25594.428997	10.336666	3.298883	0.620000	100.000000
4400	29.050000	5.734762	14523.280000	23378.179748	9.863167	2.841778	0.570000	100.000000
4500	27.800000	5.642694	13036.660000	20969.021111	9.483667	2.856877	0.570000	100.000000
4600	26.340000	5.372560	11748.140000	19024.472788	8.811667	2.815992	0.520000	100.000000
4700	25.410000	5.140224	10646.200000	17483.039888	8.575000	2.661179	0.530000	100.000000
4800	24.420000	5.232934	9594.270000	15739.906427	8.185667	2.768486	0.420000	100.000000
4900	23.460000	5.284733	8629.740000	14144.629121	7.831667	2.644228	0.420000	100.000000
5000	22.450000	4.914011	7718.420000	12872.727349	7.407500	2.458401	0.430000	100.000000
5100	21.700000	4.885693	6891.020000	11832.137592	7.039167	2.479624	0.430000	100.000000
5200	20.940000	4.734596	6122.330000	10965.952561	6.768333	2.362543	0.400000	100.000000
5300	20.270000	4.660161	5446.400000	9841.879374	6.598026	2.319140	0.380000	100.000000
5400	19.530000	4.439493	4840.790000	8498.003667	6.343333	2.058697	0.350000	100.000000
5500	18.790000	4.361869	4356.610000	7579.643564	6.051667	2.032882	0.320000	100.000000
5600	18.140000	4.211935	3933.210000	6911.173366	5.730000	1.944762	0.350000	100.000000
5700	17.570000	4.106714	3475.730000	6115.500498	5.423333	1.839900	0.360000	100.000000
5800	17.120000	4.038019	3062.200000	5411.669806	5.435000	1.955320	0.230000	100.000000
5900	16.540000	3.889524	2673.450000	4746.481309	5.195000	1.810932	0.230000	100.000000
6000	16.020000	3.896101	2371.240000	4220.452305	5.050000	1.794358	0.200000	100.000000
6100	15.450000	3.785168	2146.650000	3893.492032	4.855000	1.730230	0.260000	100.000000
6200	14.970000	3.761529	1958.090000	3679.776281	4.652500	1.740652	0.250000	100.000000
6300	14.500000	3.691883	1771.880000	3422.754087	4.438333	1.681212	0.170000	100.000000
6400	14.080000	3.681521	1606.540000	3221.415372	4.266667	1.641646	0.170000	100.000000
6500	13.680000	3.616296	1450.610000	3057.124656	4.186667	1.579430	0.130000	100.000000
6600	13.250000	3.516746	1325.670000	2906.478285	4.054667	1.672414	0.130000	100.000000
6700	12.940000	3.475112	1221.150000	2777.324219	3.986667	1.608084	0.180000	100.000000
6800	12.580000	3.479023	1110.410000	2638.150151	3.901667	1.576053	0.160000	100.000000
6900	12.250000	3.421622	984.660000	2315.478663	3.893333	1.463922	0.120000	100.000000
7000	11.920000	3.357618	855.950000	1943.731882	3.800000	1.466288	0.140000	100.000000
7100	11.520000	3.296908	767.180000	1752.195611	3.684167	1.492029	0.110000	100.000000
7200	11.180000	3.172948	707.800000	1645.427327	3.578333	1.386533	0.100000	100.000000
7300	10.880000	3.099290	611.220000	1333.427973	3.449167	1.295178	0.090000	100.000000
7400	10.550000	3.034386	529.410000	1061.549551	3.360000	1.233045	0.110000	100.000000
7500	10.300000	2.920616	482.020000	929.156289	3.330000	1.313811	0.070000	100.000000
7600	10.040000	2.918630	440.630000	810.856917	3.288333	1.371912	0.070000	100.000000
7700	9.800000	2.828427	404.040000	726.847068	3.237000	1.420821	0.110000	100.000000
7800	9.520000	2.740365	373.990000	652.098351	3.135000	1.294796	0.070000	100.000000
7900	9.320000	2.705106	346.300000	590.916009	3.116667	1.276823	0.060000	100.000000
8000	9.060000	2.606991	326.440000	551.174963	2.975000	1.211834	0.080000	100.000000
8100	8.830000	2.645959	299.290000	472.667790	2.888333	1.194909	0.040000	100.000000
8200	8.650000	2.612949	274.860000	424.105977	2.800000	1.193734	0.040000	100.000000
8300	8.470000	2.531620	253.800000	396.306863	2.736667	1.190280	0.070000	100.000000
8400	8.210000	2.495175	235.310000	381.803693	2.643529	1.104562	0.030000	100.000000
8500	8.010000	2.531778	211.680000	356.311002	2.555000	1.092920	0.020000	100.000000
8600	7.820000	2.483465	190.080000	336.963989	2.516667	1.110931	0.020000	100.000000
8700	7.630000	2.452162	177.070000	328.569232	2.481667	1.148645	0.050000	100.000000
8800	7.490000	2.376952	156.800000	245.342516	2.460000	1.132872	0.020000	100.000000
8900	7.340000	2.324737	148.640000	238.378858	2.430000	1.077079	0.050000	100.000000
9000	7.150000	2.355313	137.910000	202.797682	2.345000	1.083271	0.030000	100.000000
